"","status","geometry","type","source","sYear","Órgãos Beneficiados","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Bairro"," CEP"," Município"," Código do Município"," UF"," Região"," Longitude","Latitude","id"
"3212","Funciona","POINT (-47.384624 -20.549153)","SPE",NA,NA," INST.ASSIST.MEDICA SERV.PUBLICO-IAMSPE"," Entregue"," 1"," "," SPE"," 10434,41"," 145000"," JARDIM ANGELA ROSA"," 14403649"," FRANCA"," 3516200"," SP"," ESP"," -47.384624"," -20.549153",3212
"3213","Funciona","POINT (-46.75619 -24.158402)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 27612,72"," 120000"," 907"," 11740000"," ITANHAÉM"," 3522109"," SP"," RMBS"," -46.75619"," -24.158402",3213
"3214","Funciona","POINT (-47.426206 -20.5117)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 28942,82"," 145000"," RES MEIRELLES"," 01440726"," FRANCA"," 3516200"," SP"," ESP"," -47.426206"," -20.5117",3214
"3215","Funciona","POINT (-47.827904 -21.164899)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3521,17"," 128000"," SUMAREZINHO"," 14051290"," RIBEIRÃO PRETO"," 3543402"," SP"," ESP"," -47.827904"," -21.164899",3215
"3216","Funciona","POINT (-47.51302 -23.491804)","SPE",NA,NA," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 32647,39"," 145000"," WANEL VILLE IV"," 18055861"," SOROCABA"," 3552205"," SP"," RMS"," -47.51302"," -23.491804",3216
"3217","Funciona","POINT (-46.71979 -23.496825)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 165027,46"," PIRITUBA"," 5143900"," SÃO PAULO"," 3550308"," SP"," RMSP"," -46.71979"," -23.496825",3217
"3218","Funciona","POINT (-50.337797 -21.268076)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 23265,91"," 110000"," SAO CONRADO"," 16201116"," BIRIGUI"," 3506508"," SP"," ESP"," -50.337797"," -21.268076",3218
"3219","Funciona","POINT (-46.717734 -24.137567)","SPE",NA,NA," SEGURANCA PUBLICA"," Entregue"," 1"," "," SPE"," 3100"," 103000"," PQ.N.IMIGRANTE"," 11730000"," ITANHAÉM"," 3522109"," SP"," RMBS"," -46.717734"," -24.137567",3219
"3220","Funciona","POINT (-49.434965 -22.005746)","SPE",NA,NA," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 28541,11"," 89834,01"," NOVA PIRAJUI"," 16600000"," PIRAJUÍ"," 3538907"," SP"," ESP"," -49.434965"," -22.005746",3220
"3221","Funciona","POINT (-46.870645 -24.226036)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 3100"," 180000"," BALN SAN MARCO"," 11740000"," ITANHAÉM"," 3522109"," SP"," RMBS"," -46.870645"," -24.226036",3221
"3222","Funciona","POINT (-47.006901 -21.480649)","SPE",NA,NA," MINISTERIO PUBLICO DE SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 115000"," JD PROGRESSO"," 13736390"," MOCOCA"," 3530508"," SP"," ESP"," -47.006901"," -21.480649",3222
"3223","Funciona","POINT (-46.737218 -24.146623)","SPE",NA,NA," HOSPITAL DAS CLINICAS FAC.MED. DA USP"," Entregue"," 1"," "," SPE"," 14370,50"," 125000"," VILA VERDE MAR"," 11740000"," ITANHAÉM"," 3522109"," SP"," RMBS"," -46.737218"," -24.146623",3223
"3224","Funciona","POINT (-50.43093 -21.195549)","SPE",NA,NA," SAUDE"," Entregue"," 1"," "," SPE"," 3100"," 110000"," AVIACAO"," 16055503"," ARAÇATUBA"," 3502804"," SP"," ESP"," -50.43093"," -21.195549",3224
"3225","Funciona","POINT (-48.304383 -21.243367)","SPE",NA,NA," UNIV.EST. JULIO DE MESQUITA FILHO  UNESP"," Entregue"," 1"," "," SPE"," 22583,48"," 50000"," JARDIM NOVA APARECIDA"," 14883354"," JABOTICABAL"," 3524303"," SP"," ESP"," -48.304383"," -21.243367",3225
"3226","Funciona","POINT (-46.195864 -23.514861)","SPE",NA,NA," MINISTERIO PUBLICO DE SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 156735"," V MOGILAR"," 8773495"," MOGI DAS CRUZES"," 3530607"," SP"," RMSP"," -46.195864"," -23.514861",3226
"3227","Funciona","POINT (-47.75418 -21.184459)","SPE",NA,NA," PLANEJAMENTO E DESENVOLVIMENTO REGIONAL"," Entregue"," 1"," "," SPE"," 19613,67"," 133000"," VL ABRANCHES"," 14093160"," RIBEIRÃO PRETO"," 3543402"," SP"," ESP"," -47.75418"," -21.184459",3227
"3228","Funciona","POINT (-45.538247 -23.017142)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 59500"," 140378,49"," VILA SAO JOSE"," 12070350"," TAUBATÉ"," 3554102"," SP"," RMVPLN"," -45.538247"," -23.017142",3228
"3229","Funciona","POINT (-47.427973 -20.491032)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 4358,51"," 145000"," JARDIM LUIZA"," 14407567"," FRANCA"," 3516200"," SP"," ESP"," -47.427973"," -20.491032",3229
"3230","Funciona","POINT (-47.595218 -22.742418)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3100"," 144900"," DOIS CORREGOS"," 13420834"," PIRACICABA"," 3538709"," SP"," ESP"," -47.595218"," -22.742418",3230
"3231","Funciona","POINT (-46.766415 -23.6524)","SPE",NA,NA," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 28776,82"," 161000"," CAMPO LIMPO"," 5782370"," SÃO PAULO"," 3550308"," SP"," RMSP"," -46.766415"," -23.6524",3231
"3232","Funciona","POINT (-46.395858 -23.438648)","SPE",NA,NA," SAUDE"," Entregue"," 1"," "," SPE"," 11896,81"," 138380"," AGUA CHATA"," 07251000"," GUARULHOS"," 3518800"," SP"," RMSP"," -46.395858"," -23.438648",3232
"3233","Funciona","POINT (-46.85312 -23.19322)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 4986,51"," 171135,57"," JD TAMOIO"," 13219240"," JUNDIAÍ"," 3525904"," SP"," AU JUNDIAÍ"," -46.85312"," -23.19322",3233
"3234","Funciona","POINT (-47.353539 -20.564245)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 11309,21"," 145000"," RES ZANETTI"," 14412362"," FRANCA"," 3516200"," SP"," ESP"," -47.353539"," -20.564245",3234
"3235","Funciona","POINT (-47.087101 -22.931898)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 8000,70"," 180000"," JD DO LAGO"," 13050022"," CAMPINAS"," 3509502"," SP"," RMC"," -47.087101"," -22.931898",3235
"3236","Funciona","POINT (-47.353571 -20.565964)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 145000"," RESIDENCIAL ZANETTI"," 14412350"," FRANCA"," 3516200"," SP"," ESP"," -47.353571"," -20.565964",3236
"3237","Funciona","POINT (-48.142244 -21.777427)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 25283,04"," 100000"," CHS JD AMERICA"," 14811283"," ARARAQUARA"," 3503208"," SP"," ESP"," -48.142244"," -21.777427",3237
"3238","Funciona","POINT (-47.385378 -20.538579)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 30995,75"," 145000"," SAO JOSE"," 14403442"," FRANCA"," 3516200"," SP"," ESP"," -47.385378"," -20.538579",3238
"3239","Funciona","POINT (-49.022564 -22.314978)","SPE",NA,NA," UNIV.EST. JULIO DE MESQUITA FILHO  UNESP"," Entregue"," 1"," "," SPE"," 3841,45"," 120000"," PQ PAULSITANO"," 17031381"," BAURU"," 3506003"," SP"," ESP"," -49.022564"," -22.314978",3239
"3240","Funciona","POINT (-48.936416 -23.078295)","SPE",NA,NA," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 8595,83"," 95000"," CHACARA TINOCO"," 18706882"," AVARÉ"," 3504503"," SP"," ESP"," -48.936416"," -23.078295",3240
"3241","Funciona","POINT (-46.993187 -23.546386)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 18759,80"," 163236,57"," PQ MIRAFLORES"," 6685020"," ITAPEVI"," 3522505"," SP"," RMSP"," -46.993187"," -23.546386",3241
"3242","Funciona","POINT (-46.816817 -24.150859)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 34500"," 127000"," JD STA TERESIN"," 11740000"," ITANHAÉM"," 3522109"," SP"," RMBS"," -46.816817"," -24.150859",3242
"3243","Funciona","POINT (-50.266385 -20.292901)","SPE",NA,NA," CENTRO EDUC. TECNOL.PAULA SOUZA-CEETEPS"," Entregue"," 1"," "," SPE"," 34500"," 115000"," PARQUE UNIVERSITARIO"," 15600000"," FERNANDÓPOLIS"," 3515509"," SP"," ESP"," -50.266385"," -20.292901",3243
"3244","Funciona","POINT (-47.875828 -22.03928)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 114485"," NOVA SAO CARLOS"," 13571385"," SÃO CARLOS"," 3548906"," SP"," ESP"," -47.875828"," -22.03928",3244
"3245","Funciona","POINT (-47.101171 -21.787254)","SPE",NA,NA," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 18465,69"," 90000"," CH MONTE BELO"," 13700000"," CASA BRANCA"," 3510807"," SP"," ESP"," -47.101171"," -21.787254",3245
"3246","Funciona","POINT (-47.455475 -23.475208)","SPE",NA,NA," MEIO AMBIENTE"," Entregue"," 1"," "," SPE"," 18722,96"," 125000"," MATADOURO"," 18090602"," SOROCABA"," 3552205"," SP"," RMS"," -47.455475"," -23.475208",3246
"3247","Funciona","POINT (-46.432267 -23.452823)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 26944,73"," 151050"," VILA ALZIRA"," 07210420"," GUARULHOS"," 3518800"," SP"," RMSP"," -46.432267"," -23.452823",3247
"3248","Funciona","POINT (-47.370164 -22.70686)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 4777,17"," 150000"," JD DAS ORQUIDE"," 13469790"," AMERICANA"," 3501608"," SP"," RMC"," -47.370164"," -22.70686",3248
"3249","Funciona","POINT (-45.909586 -23.237408)","SPE",NA,NA," FUND.INST.TERRAS JOSE G. DA SILVA-ITESP"," Entregue"," 1"," "," SPE"," 29538,58"," 167511"," PQ INDUSTRIAL"," 12237000"," SÃO JOSÉ DOS CAMPOS"," 3549904"," SP"," RMVPLN"," -45.909586"," -23.237408",3249
"3250","Funciona","POINT (-46.19639 -23.515368)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 12716,85"," 150692"," V MOGILAR"," 8773495"," MOGI DAS CRUZES"," 3530607"," SP"," RMSP"," -46.19639"," -23.515368",3250
"3251","Funciona","POINT (-47.009322 -21.463947)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 14742,49"," 109000"," RESIDENCIAL CARLITO QUILICI"," 13734000"," MOCOCA"," 3530508"," SP"," ESP"," -47.009322"," -21.463947",3251
"3252","Funciona","POINT (-45.360399 -22.915995)","SPE",NA,NA," ADMINISTRACAO PENITENCIARIA"," Entregue"," 1"," "," SPE"," 3100"," 130000"," MOREIRA CESAR"," 12440200"," PINDAMONHANGABA"," 3538006"," SP"," RMVPLN"," -45.360399"," -22.915995",3252
"3253","Funciona","POINT (-45.878044 -23.232646)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 34500"," 172053,18"," JARDIM SATELIT"," 12231820"," SÃO JOSÉ DOS CAMPOS"," 3549904"," SP"," RMVPLN"," -45.878044"," -23.232646",3253
"3254","Funciona","POINT (-45.009678 -22.653529)","SPE",NA,NA," POLICIA MILITAR ESTADO SAO PAULO"," Entregue"," 1"," "," SPE"," 3521,17"," 130000"," JARDIM DA FONTE"," 12630000"," CACHOEIRA PAULISTA"," 3508603"," SP"," RMVPLN"," -45.009678"," -22.653529",3254
"3255","Funciona","POINT (-49.344166 -20.793303)","SPE",NA,NA," FUND.CTO.AT.SOCIO-EDUC.ADOL.FUND.CASA-SP"," Entregue"," 1"," "," SPE"," 3100"," 145000"," VILA FLORA"," 15057439"," SÃO JOSÉ DO RIO PRETO"," 3549805"," SP"," ESP"," -49.344166"," -20.793303",3255
"3256","Funciona","POINT (-47.574155 -22.432038)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 11618,19"," 115000"," CHACARA LUZA"," 13502034"," RIO CLARO"," 3543907"," SP"," AU PIRACICABA"," -47.574155"," -22.432038",3256
"3257","Funciona","POINT (-48.199741 -21.789266)","SPE",NA,NA," UNIV.EST. JULIO DE MESQUITA FILHO  UNESP"," Entregue"," 1"," "," SPE"," 10037,51"," 115000"," PQ DAS LARANJE"," 14801550"," ARARAQUARA"," 3503208"," SP"," ESP"," -48.199741"," -21.789266",3257
