"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-45.90025 -23.2238611111111)","FAR",NA,NA," RESIDENCIAL ALTO DA PONTE"," OBRAS >= 85%"," 300"," APTO"," FAR"," 5861068,19"," 28661068,19"," Estrada Municipal         JUCA DE CARVALHO"," "," ALTO DA PONTE"," "," São José dos Campos"," 3549904"," RMVPLN"," -45.90025"," -23.2238611111111",1
"2","Funciona","POINT (-46.8586666666667 -23.5752222222222)","FAR",NA,NA," RESIDENCIAL AZALÉIAS - CONDOMÍNIO JARDIM DAS FLORES LOTE B"," CONCLUÍDO"," 300"," APTO"," FAR"," 6000000"," 28799987,72"," Rua                       Paraguai"," 1-183"," "," "," Carapicuíba"," 3510609"," RMSP"," -46.8586666666667"," -23.5752222222222",2
"3","Funciona","POINT (-47.3801027777778 -23.3940305555556)","FAR",NA,NA," RESIDENCIAL BEM VIVER"," CONCLUÍDO"," 144"," APTO"," FAR"," 1910141,78"," 12854141,78"," Rua                       Jorge Elias"," 180"," Cajuru do Sul"," 18105109"," Sorocaba"," 3552205"," RMS"," -47.3801027777778"," -23.3940305555556",3
"4","Funciona","POINT (-47.3900083333333 -22.7725055555556)","FAR",NA,NA," RESIDENCIAL BOSQUE DAS ÁRVORES"," OBRAS"," 1320"," APTO"," FAR"," 26399515,38"," 126719515,38"," Avenida Ruth Garrido Roque"," lt 1e7"," Parque Residencial do Lago"," 13458626"," Santa Bárbara d'Oeste"," 3545803"," RMC"," -47.3900083333333"," -22.7725055555556",4
"5","Funciona","POINT (-46.4013527777778 -23.4408611111111)","FAR",NA,NA," RESIDENCIAL BRISAS"," OBRAS >= 85%"," 280"," APTO"," FAR"," 4953547,66"," 26233547,66"," Estrada                   DO CAMINHO VELHO"," "," ´GUA CHATA"," "," Guarulhos"," 3518800"," RMSP"," -46.4013527777778"," -23.4408611111111",5
"6","Funciona","POINT (-47.2454 -22.8918527777778)","FAR",NA,NA," RESIDENCIAL BROMÉLIAS I E II"," ENTREGA TOTAL"," 440"," APTO"," FAR"," 5533438,51"," 38973438,51"," Estrada Municipal  GLEBA REMANESCENTE 8A"," 0"," JARDIM AMANDA"," "," Hortolândia"," 3519071"," RMC"," -47.2454"," -22.8918527777778",6
"7","Funciona","POINT (-45.8047222222222 -23.2113888888889)","FAR",NA,NA," RESIDENCIAL CAMPOS DE SÃO JOSÉ II"," OBRAS >= 85%"," 144"," APTO"," FAR"," 2880000"," 13824000"," Estrada Municipal         DOM JOSÉ ANTÔNIO DO COUTO"," "," CAJURU"," "," São José dos Campos"," 3549904"," RMVPLN"," -45.8047222222222"," -23.2113888888889",7
"8","Funciona","POINT (-46.9719166666667 -22.4324722222222)","FAR",NA,NA," RESIDENCIAL CASA NOVA"," OBRAS"," 1400"," APTO"," FAR"," 21000000"," 119000000"," Avenida MARGINAL E RUA 26"," s/n"," Jd Santa Cruz"," 13840000"," Mogi Guaçu"," 3530706"," ESP"," -46.9719166666667"," -22.4324722222222",8
"9","Funciona","POINT (-49.0398611111111 -21.2120277777778)","FAR",NA,NA," RESIDENCIAL CATANDUVA I"," OBRAS >= 85%"," 1237"," CASA"," FAR"," 17689100"," 104279100"," Rua CARAÍBAS"," 0"," JARDIM IMPERIAL"," 15813075"," Catanduva"," 3511102"," ESP"," -49.0398611111111"," -21.2120277777778",9
"10","Funciona","POINT (-47.4258333333333 -23.5327777777778)","FAR",NA,NA," RESIDENCIAL CHÁCARA ONDINA"," ENTREGA TOTAL"," 123"," CASA"," FAR"," 2140226,66"," 10750226,66"," Avenida VINTE E SETE DE MARÇO"," 0"," RIO ACIMA - VILA GARCIA"," "," Votorantim"," 3557006"," RMS"," -47.4258333333333"," -23.5327777777778",10
