"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"103","Funciona","POINT (-45.5994722222222 -23.0366944444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL FRANCISCO ALVES MONTEIRO"," OBRAS"," 864"," APTO"," FAR"," 17280000"," 77760000"," Avenida GUIDO MINÉ"," 0"," PIRACANGAGUÁ"," 12040050"," Taubaté"," 3554102"," RMVPLN"," -45.5994722222222"," -23.0366944444444",103
"104","Funciona","POINT (-46.8580277777778 -23.5759166666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL GIRASSÓIS - CONDOMÍNIO JARDIM DAS FLORES LOTE C"," ENTREGA TOTAL"," 216"," APTO"," FAR"," 4320000"," 20735354,93"," Rua                       Paraguai"," 1-183"," "," "," Carapicuíba"," 3510609"," RMSP"," -46.8580277777778"," -23.5759166666667",104
"105","Funciona","POINT (-47.2249833333333 -23.6442555555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL IBIUNA"," ENTREGA TOTAL"," 472"," CASA SOBREPOSTA"," FAR"," 3690302,01"," 30594302,01"," Estrada Vicinal           Antônio Rodrigues Pinto"," "," "," "," Ibiúna"," 3519709"," RMS"," -47.2249833333333"," -23.6442555555556",105
"106","Funciona","POINT (-47.1969444444444 -22.8425)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL ITÁLIA","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude",106
"107","Funciona","POINT (-48.785 -22.6127777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM CAROLINA"," ENTREGA TOTAL"," 452"," CASA"," FAR"," 9005092,04"," 40645092,04"," Rua                       REGINA RISSATO PACCOLA"," "," FAZENDA SANTO ANTONIO"," 18683754"," Lençóis Paulista"," 3526803"," ESP"," -48.785"," -22.6127777777778",107
"108","Funciona","POINT (-46.8113 -23.6418027777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM CASTILHO I"," OBRAS >= 85%"," 28"," APTO"," FAR"," 537089,52"," 2665089,52"," Avenida                   João Paulo I"," 3215"," Jardim São Luiz"," 06816550"," Embu das Artes"," 3515004"," RMSP"," -46.8113"," -23.6418027777778",108
"109","Funciona","POINT (-46.8121666666667 -23.6405694444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM CASTILHO II"," OBRAS >= 85%"," 20"," APTO"," FAR"," 320619,31"," 1840619,31"," Rua                       PERA"," 255"," JARDIM CASTILHO"," 06810025"," Embu das Artes"," 3515004"," RMSP"," -46.8121666666667"," -23.6405694444444",109
"110","Funciona","POINT (-46.8113 -23.6409416666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM CASTILHO III"," OBRAS >= 85%"," 10"," APTO"," FAR"," 161438,43"," 921438,43"," Rua                       PERA"," 331"," JARDIM CASTILHO"," 06810025"," Embu das Artes"," 3515004"," RMSP"," -46.8113"," -23.6409416666667",110
"111","Funciona","POINT (-49.3671916666667 -20.7492027777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM DA SOLIDARIEDADE"," OBRAS"," 1300"," CASA"," FAR"," 13000000"," 111800000"," Estrada Municipal ACESSO AO NÚCLEO DA ESPERANÇA "," S/N"," SANTANA"," 15100000"," São José do Rio Preto"," 3549805"," ESP"," -49.3671916666667"," -20.7492027777778",111
"112","Funciona","POINT (-47.2198805555556 -22.8087305555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM DAS ÁGUAS"," ENTREGA PARCIAL"," 1500"," APTO"," FAR"," 20474127,43"," 125474127,43"," Avenida Amazonas"," 0"," Jardim Nova Veneza"," 13177060"," Sumaré"," 3552403"," RMC"," -47.2198805555556"," -22.8087305555556",112
"113","Funciona","POINT (-47.3171 -22.3473)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM DAS ORQUÍDEAS"," OBRAS >= 85%"," 448"," CASA"," FAR"," 963200"," 32323200"," Avenida                   PROLONGAMENTO DA AVENIDA DAS NOVELAS"," "," BOCAINA"," "," Araras"," 3503307"," ESP"," -47.3171"," -22.3473",113
"114","Funciona","POINT (-48.1723888888889 -21.7799444444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM DO VALE"," OBRAS"," 560"," CASA"," FAR"," 7085120"," 46285120"," "," "," "," "," Araraquara"," 3503208"," ESP"," -48.1723888888889"," -21.7799444444444",114
"115","Funciona","POINT (-47.3742222222222 -22.2025833333333)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM EMPYREO"," OBRAS >= 85%"," 1000"," CASA"," FAR"," 10000000"," 80000000"," Rua JOSÉ TAMBORIM"," 0"," LOTEAMENTO JARDIM EMPYREO"," "," Leme"," 3526704"," ESP"," -47.3742222222222"," -22.2025833333333",115
"116","Funciona","POINT (-46.3128027777778 -23.4702861111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM LEBANI I, II E III"," OBRAS"," 840"," APTO"," FAR"," 16576291,81"," 80416291,81"," Estrada DO CAMPO LIMPO"," S/N"," CAMPO LIMPO"," 08595500"," Itaquaquecetuba"," 3523107"," RMSP"," -46.3128027777778"," -23.4702861111111",116
"117","Funciona","POINT (-45.7792472222222 -23.1683666666667)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM PARQUE TECNOLÓGICO"," ASSINADO"," 300"," APTO"," FAR"," 6000000"," 28800000"," Rua DANILO EDUARDO RIOS RAMOS"," 0"," CAPÃO GROSSO"," 12220000"," São José dos Campos"," 3549904"," RMVPLN"," -45.7792472222222"," -23.1683666666667",117
"118","Funciona","POINT (-45.7788944444444 -23.1766138888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JARDIM SÃO JOSÉ"," ASSINADO"," 180"," APTO"," FAR"," 3600000"," 17280000"," Estrada Municipal DA PIEDADE"," 0"," "," "," São José dos Campos"," 3549904"," RMVPLN"," -45.7788944444444"," -23.1766138888889",118
"119","Funciona","POINT (-46.6022777777778 -23.1385638888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JERÔNIMO DE CAMARGO III, IV E V"," OBRAS"," 780"," APTO"," FAR"," 11699690"," 66299690"," Avenida JERONIMO DE CAMARGO"," 0"," CAETETUBA"," 12951540"," Atibaia"," 3504107"," ESP"," -46.6022777777778"," -23.1385638888889",119
"120","Funciona","POINT (-46.7989166666667 -23.6245)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JOÃO CÂNDIDO A"," ENTREGA TOTAL"," 192"," APTO"," Entidade"," 5276781,42"," 19853671,28"," Rua                       Maria Patrícia da Silva"," s/nº"," Jardim Salete"," "," Taboão da Serra"," 3552809"," RMSP"," -46.7989166666667"," -23.6245",120
"121","Funciona","POINT (-46.8226944444445 -22.4365833333333)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JOSÉ TONOLI II"," OBRAS"," 305"," CASA"," FAR"," 4575000"," 25925000"," Rua "," S/N"," ESTOR LUPPI"," "," Itapira"," 3522604"," ESP"," -46.8226944444445"," -22.4365833333333",121
"122","Funciona","POINT (-46.5252777777778 -23.6838888888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL JUQUIA"," ENTREGA TOTAL"," 132"," APTO"," FAR"," 401975,64"," 7339264,14"," Rua JUQUIA"," 1188"," JD STA CRISTINA"," 09181720"," Santo André"," 3547809"," RMSP"," -46.5252777777778"," -23.6838888888889",122
"123","Funciona","POINT (-46.4316111111111 -23.4024638888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL LAVRAS"," OBRAS >= 85%"," 1460"," APTO"," FAR"," 28412015,45"," 109811153,60"," Avenida                   JOSÉ BRUMATTI"," "," DAS LAVRAS"," "," Guarulhos"," 3518800"," RMSP"," -46.4316111111111"," -23.4024638888889",123
"124","Funciona","POINT (-45.931 -23.23675)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL MIRANTE DO LIMOEIRO I"," OBRAS"," 288"," APTO"," FAR"," 5760000"," 27648000"," Avenida CORIFEU DE AZEVEDO MARQUES"," S/N","  BAIRRO DO LIMOEIRO "," 12240780"," São José dos Campos"," 3549904"," RMVPLN"," -45.931"," -23.23675",124
"125","Funciona","POINT (-45.9306583333333 -23.2381722222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL MIRANTE DO LIMOEIRO II"," OBRAS"," 300"," APTO"," FAR"," 6000000"," 28800000"," Avenida corifeu de azevedo marques"," s/n"," limoeiro"," 12240780"," São José dos Campos"," 3549904"," RMVPLN"," -45.9306583333333"," -23.2381722222222",125
"126","Funciona","POINT (-47.1788888888889 -22.6294444444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL MONTE CASTELO I"," OBRAS"," 300"," APTO"," FAR"," 4500000"," 27300000"," Rua MONTE CASTELO"," 0"," NÚCLEO CAMPOS SALES"," 12415150"," Cosmópolis"," 3512803"," RMC"," -47.1788888888889"," -22.6294444444444",126
"127","Funciona","POINT (-48.8545916666667 -23.9996861111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL MORADA DO BOSQUE"," OBRAS"," 1043"," CASA"," FAR"," 10430000"," 83440000"," Rua SALVADOR DOMINGUES DE OLIVEIRA"," 0"," "," "," Itapeva"," 3522406"," ESP"," -48.8545916666667"," -23.9996861111111",127
"128","Funciona","POINT (-46.5566388888889 -22.9148055555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL NICOLA CORTEZ I A VII"," ENTREGA TOTAL"," 423"," DIVERSOS"," CHAM"," 6345000"," 35955000"," Avenida OITO DE MAIO QUADRAS 4, 5, 11, 12, 13 E 18"," 0"," JARDIM ÁGUA CLARA"," "," Bragança Paulista"," 3507605"," ESP"," -46.5566388888889"," -22.9148055555556",128
"129","Funciona","POINT (-45.4502777777778 -23.6952777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL NOVA CARAGUÁ II"," OBRAS"," 730"," CASA"," FAR"," 14600000"," 65700000"," Rua JOAO CARLOS BAIO"," S/N"," PORTO NOVO"," 11668000"," Caraguatatuba"," 3510500"," RMVPLN"," -45.4502777777778"," -23.6952777777778",129
"130","Funciona","POINT (-46.9805555555556 -23.1777777777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL NOVO HORIZONTE I, II, III, IV, V E VI"," OBRAS"," 1088"," APTO"," CHAM"," 20489088,70"," 103177088,70"," Rua HENRIQUE BRUNINI"," 0"," FAZENDA GRANDE"," 13212405"," Jundiaí"," 3525904"," ESP"," -46.9805555555556"," -23.1777777777778",130
